organism,complete_buscos,single_copy_buscos,fragmented_buscos,missing_buscos
GCA_000836455.1_Cryp_gatt_99_473_V1_genomic.fna,712,712,15,31
GCA_041438035.1_Schco2272_1_genomic.fna,719,711,14,25
GCA_027577475.1_UCR_CoemRSA788_1.0_genomic.fna,360,352,145,253
GCA_040142845.1_UCR_Afum_ATCC42202_1.0_genomic.fna,749,748,5,4
GCA_027575665.1_UCR_KalabBenny63K_1.0_genomic.fna,486,185,111,161
GCA_000238015.2_LBAGla_1.0_genomic.fna,744,743,7,7
GCA_911175285.1_Psal_CBS135400_genomic.fna,747,743,2,9
GCA_003234015.1_ASM323401v1_genomic.fna,652,648,31,75
GCA_019924715.1_ASM1992471v1_genomic.fna,755,751,1,2
GCA_019208005.1_ASM1920800v1_genomic.fna,724,723,8,26
GCA_011801505.2_ASM1180150v2_genomic.fna,714,539,16,28
GCA_900312805.1_Ft_NRRL22747_version_1_genomic.fna,743,740,8,7
GCA_024761535.1_ASM2476153v1_genomic.fna,749,746,4,5
GCA_949123935.1_BEM_HP.nuclear_genome.ScRAP_genomic.fna,650,17,7,101
GCA_000334475.1_Pant_1.0_genomic.fna,735,733,8,15
GCA_019924755.1_ASM1992475v1_genomic.fna,563,269,131,64
GCA_003144235.1_Ustsp1_genomic.fna,715,712,18,25
GCA_000697665.1_Jaaar1_genomic.fna,729,720,8,21
GCA_027478835.1_UCR_CoemRSA25_1.0_genomic.fna,331,329,142,285
GCA_947369885.1_CPI_1c.nuclear_genome_genomic.fna,733,716,1,24
GCA_000814975.1_MAN_1.0_genomic.fna,743,737,6,9
GCA_022495235.1_Xylcur114988_1_genomic.fna,741,739,3,14
GCA_000426965.1_ASM42696v1_genomic.fna,741,734,6,11
GCA_030036375.1_CIH_collapsed.nuclear_genome_genomic.fna,721,705,7,30
GCA_020499135.1_ASM2049913v1_genomic.fna,748,747,5,5
GCA_027577725.1_UCR_CoemRSA518_1.0_genomic.fna,588,576,69,101
GCA_949124215.1_ADQ.nuclear_genome.ScRAP_genomic.fna,733,717,1,24
GCA_903231485.1_CHRIA5_genomic.fna,656,579,14,88
GCA_000775455.1_Cand_albi_L26_V2_genomic.fna,725,717,4,29
GCA_019924185.1_ASM1992418v1_genomic.fna,626,212,93,39
GCA_020575035.1_ASM2057503v1_genomic.fna,747,745,6,5
GCA_026024515.1_ASM2602451v1_genomic.fna,738,732,4,16
GCA_029948375.1_ASM2994837v1_genomic.fna,746,743,2,10
GCA_900162835.1_version_2_genomic.fna,734,732,7,17
GCA_002443215.2_ASM244321v2_genomic.fna,748,744,4,6
GCA_014049585.1_ASM1404958v1_genomic.fna,724,719,4,30
GCA_020503465.1_ASM2050346v1_genomic.fna,746,745,7,5
GCA_030462655.1_ASM3046265v1_genomic.fna,676,674,21,61
GCA_023141205.1_ASM2314120v1_genomic.fna,747,744,3,8
GCA_015178925.1_Ruseme1_genomic.fna,736,556,4,18
GCA_949123475.1_AIS_HP2.nuclear_genome.ScRAP_genomic.fna,700,686,2,56
GCA_002317995.1_ASM231799v1_genomic.fna,745,166,4,9
GCA_020500965.1_ASM2050096v1_genomic.fna,744,743,6,8
GCA_013396205.1_ASM1339620v1_genomic.fna,749,745,3,6
GCA_019201745.1_ASM1920174v1_genomic.fna,645,644,29,84
GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz_genomic.fna,738,596,4,16
GCA_010015675.1_Bysci1_genomic.fna,749,727,5,4
GCA_040367835.1_Mfluvus_1.0_genomic.fna,734,649,4,20
GCA_025677895.1_Morhum1_genomic.fna,627,574,21,110
GCA_025201345.1_Thaele1_genomic.fna,742,655,3,13
GCA_029542765.1_ASM2954276v1_genomic.fna,709,708,12,37
GCA_001593135.2_ASM159313v2_genomic.fna,715,700,12,31
GCA_024704485.1_ASM2470448v1_genomic.fna,742,740,8,8
GCA_027886755.1_LedVB361_1_genomic.fna,716,706,20,22
GCA_025201845.1_Marpt1_genomic.fna,695,687,15,48
GCA_025769875.1_Rusear1_genomic.fna,713,627,12,33
GCA_018360755.1_CSU_LM71_v1_genomic.fna,746,736,7,5
GCA_018906765.1_ASM1890676v1_genomic.fna,748,746,1,9
GCA_020580115.1_ASM2058011v1_genomic.fna,746,744,7,5
GCA_947370585.1_CBK.nuclear_genome_genomic.fna,731,714,1,26
GCA_010093635.1_Maseb1_genomic.fna,754,751,1,3
GCA_024243935.1_niro_AWRm79_genomic.fna,151,151,37,570
GCA_010015635.1_Clael1_genomic.fna,743,740,6,9
GCA_018360975.1_CSU_LM28_v1_genomic.fna,741,734,10,7
GCA_000315645.2_PdigPd1_v1_genomic.fna,749,746,2,7
GCA_020580485.1_ASM2058048v1_genomic.fna,746,744,7,5
GCA_009650685.1_Cryp_gatt_MF34_genomic.fna,721,721,7,30
GCA_020503895.1_ASM2050389v1_genomic.fna,745,744,6,7
GCA_000750735.1_DG5_genomic.fna,689,688,35,34
GCA_008355005.1_Tsuc_wing_DSM_27421_V6_genomic.fna,699,698,11,48
GCA_023748825.1_Uh359_v1_genomic.fna,736,731,5,17
GCA_900232045.3_PTTW11_genomic.fna,753,751,1,4
GCA_020578445.1_ASM2057844v1_genomic.fna,747,745,6,5
GCA_000223565.1_PicPas_Mar2011_genomic.fna,725,723,8,25
GCA_006981985.1_ASM698198v1_genomic.fna,748,745,2,8
GCA_025782845.1_Bolcoc1_genomic.fna,711,616,12,35
GCA_018282005.1_ASM1828200v1_genomic.fna,726,722,12,20
GCA_014049445.1_ASM1404944v1_genomic.fna,723,717,4,31
GCA_020503105.1_ASM2050310v1_genomic.fna,745,744,7,6
GCA_004917355.1_ASM491735v1_genomic.fna,751,749,3,4
GCA_003184705.1_Aspvio1_genomic.fna,746,744,6,6
GCA_900208305.1_version_1_genomic.fna,739,737,4,15
GCA_029215505.1_ASM2921550v1_genomic.fna,178,172,32,548
GCA_020503715.1_ASM2050371v1_genomic.fna,742,741,7,9
GCA_027575625.1_UCR_CoemS17_1.0_genomic.fna,298,89,175,285
GCA_022830605.1_ASM2283060v1_genomic.fna,746,744,5,7
GCA_949124265.1_AEH.nuclear_genome.ScRAP_genomic.fna,732,715,2,24
GCA_021018615.1_PhlFC14_2_genomic.fna,738,694,5,15
GCA_000389695.3_Cfim3.0_genomic.fna,749,747,4,5
GCA_020744215.1_Parchr1_genomic.fna,746,744,1,11
GCA_900099495.1_ZT1A5_complete_assembly_genomic.fna,753,751,2,3
GCA_020572675.1_ASM2057267v1_genomic.fna,746,744,7,5
GCA_000976545.2_Sc_YJM984_v1_genomic.fna,733,716,1,24
GCA_911197225.1_Psal_DTO309-F9_genomic.fna,746,743,0,12
GCA_020501255.1_ASM2050125v1_genomic.fna,746,745,6,6
GCA_949124525.1_BCN.nuclear_genome.ScRAP_genomic.fna,733,715,1,24
GCA_004155915.1_ASM415591v1_genomic.fna,745,742,1,12
GCA_022830215.1_ASM2283021v1_genomic.fna,746,744,6,6
GCA_002382855.1_ASM238285v1_genomic.fna,740,737,6,12
GCA_900002365.1_ASM90000236v1_genomic.fna,734,732,5,19
GCA_947370785.1_ALH_1c.nuclear_genome_genomic.fna,733,716,1,24
GCA_016758945.1_ASM1675894v1_genomic.fna,727,638,6,25
GCA_009176395.1_Asppse1_genomic.fna,745,741,3,10
GCA_025677815.1_Phaart1_genomic.fna,729,677,8,21
GCA_021014945.1_Leumo1_genomic.fna,735,733,10,13
GCA_020574385.1_ASM2057438v1_genomic.fna,746,744,7,5
GCA_016098045.1_UCR_MspGBA43_1.0_genomic.fna,721,673,14,23
GCA_000827415.1_Sebacina_vermifera_MAFF_305830_v1.0_genomic.fna,702,672,16,40
GCA_031326905.1_Papla1_genomic.fna,700,700,14,44
GCA_002008095.1_ASM200809v1_genomic.fna,711,709,8,39
GCA_019677335.1_ASM1967733v1_genomic.fna,512,458,84,162
GCA_009176455.1_Aspmin1_genomic.fna,746,743,2,10
GCA_028827875.1_ASM2882787v1_genomic.fna,748,743,3,7
GCA_004919005.1_ASM491900v1_genomic.fna,688,687,12,58
GCA_000222805.1_FOB1_genomic.fna,741,738,6,11
GCA_027946495.1_ASM2794649v1_genomic.fna,748,745,4,6
GCA_949124125.1_ALS_1a.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_911175225.1_Pnal_CBS318.92_genomic.fna,749,744,1,8
GCA_003698175.1_Fus_sp_AF-12_v1.0_genomic.fna,719,714,4,35
GCA_025433555.1_ASM2543355v1_genomic.fna,750,746,2,6
GCA_001857865.1_ASM185786v1_genomic.fna,750,748,2,6
GCA_020450265.1_ASM2045026v1_genomic.fna,724,711,3,31
GCA_019925035.1_ASM1992503v1_genomic.fna,754,753,1,3
GCA_001662575.1_ASM166257v1_genomic.fna,745,741,4,9
GCA_001875675.1_ASM187567v1_genomic.fna,148,146,58,552
GCA_020573725.1_ASM2057372v1_genomic.fna,746,744,7,5
GCA_027578635.1_UCR_CoemRSA1807_1.0_genomic.fna,636,620,19,103
GCA_000975705.2_Sc_YJM1129_v1_genomic.fna,733,716,1,24
GCA_029747595.1_Cubamyces_cubensis_reassembly_enz_genomic.fna,728,640,13,17
GCA_015698045.1_RCL21_genomic.fna,718,704,8,32
GCA_023646045.1_KEW_Ltra1_genomic.fna,755,752,0,3
GCA_001268165.1_vl2.denovo.v1_genomic.fna,564,404,124,70
GCA_949125125.1_CRL.nuclear_genome.ScRAP_genomic.fna,732,715,2,24
GCA_022829945.1_ASM2282994v1_genomic.fna,746,744,5,7
GCA_022829795.1_ASM2282979v1_genomic.fna,748,746,5,5
GCA_024761945.1_ASM2476194v1_genomic.fna,557,252,126,75
GCA_900120095.1_MsdSdi1_genomic.fna,682,672,20,56
GCA_043640705.1_Pcit131864_genomic.fna,755,754,0,3
GCA_013396005.1_ASM1339600v1_genomic.fna,745,742,7,6
GCA_905072865.1_AA11_assembly_genomic.fna,635,633,42,81
GCA_022831865.1_ASM2283186v1_genomic.fna,746,744,5,7
GCA_025327145.1_ASM2532714v1_genomic.fna,743,738,6,9
GCA_015342405.1_ASM1534240v1_genomic.fna,641,632,41,76
GCA_030411725.1_Echmac1_genomic.fna,747,745,1,10
GCA_002219185.1_ASM221918v1_genomic.fna,724,711,3,31
GCA_004369175.1_Copmic2_genomic.fna,741,480,4,13
GCA_027942835.1_ASM2794283v1_genomic.fna,735,733,10,13
GCA_029606385.1_ASM2960638v1_genomic.fna,704,696,12,42
GCA_011951285.2_ASM1195128v2_genomic.fna,712,534,18,28
GCA_022836575.1_Ctol_7.0_genomic.fna,743,741,4,11
GCA_003013715.2_ASM301371v2_genomic.fna,719,716,6,33
GCA_037954315.1_UCR_Neopunicea_1.0_genomic.fna,744,739,1,13
GCA_024184665.2_ASM2418466v2_genomic.fna,757,756,1,0
GCA_019616325.1_Cerato394_1.0_genomic.fna,516,428,104,138
GCA_034509285.1_ASM3450928v1_genomic.fna,661,660,23,74
GCA_947370875.1_AHL.nuclear_genome_genomic.fna,733,716,1,24
GCA_013201755.1_ASM1320175v1_genomic.fna,747,744,4,7
GCA_012977835.1_ASM1297783v1_genomic.fna,750,749,2,6
GCA_020736575.1_Cylol1_genomic.fna,747,741,2,9
GCA_903189815.1_CHRIA1_genomic.fna,714,698,12,32
GCA_021556675.1_ASM2155667v1_genomic.fna,590,580,38,130
GCA_019924535.1_ASM1992453v1_genomic.fna,623,216,96,39
GCA_003615215.1_Fp_A8_v1_genomic.fna,750,746,3,5
GCA_910592345.1_Paraglomus_brasilianum_BR232B_genomic.fna,676,664,37,45
GCA_001747045.1_ASM174704v1_genomic.fna,678,675,5,75
GCA_905332025.1_MDC_Fg5_genomic.fna,748,745,2,8
GCA_900096705.1_version_1_genomic.fna,751,746,2,5
GCA_016952305.1_ASM1695230v1_genomic.fna,746,744,3,9
GCA_905071765.1_OR_assembly_genomic.fna,648,563,33,77
GCA_019207165.1_ASM1920716v1_genomic.fna,724,723,5,29
GCA_022831145.1_ASM2283114v1_genomic.fna,746,744,5,7
GCA_022813035.1_Ganleu1_genomic.fna,724,700,7,27
GCA_003990745.1_Jimfl_GMNB39_1_genomic.fna,529,516,84,145
GCA_905359485.1_MDC_Fg202_genomic.fna,748,746,2,8
GCA_027574685.1_UCR_CereNBRC32514_1.0_genomic.fna,664,656,26,68
GCA_949124565.1_BDF_1d.nuclear_genome.ScRAP_genomic.fna,733,715,1,24
GCA_911197245.1_Psal_LCP06523_genomic.fna,748,744,2,8
GCA_019206985.1_ASM1920698v1_genomic.fna,724,723,5,29
GCA_903189775.1_CHRIC3_genomic.fna,717,486,11,30
GCA_000855695.1_Cryp_gatt_CA1873_V1_genomic.fna,718,717,8,32
GCA_911175075.1_Psal_CBS135395_genomic.fna,747,745,1,10
GCA_000426985.1_ASM42698v1_genomic.fna,733,726,11,14
GCA_000812105.1_ASM81210v1_genomic.fna,745,741,5,8
GCA_020580905.1_ASM2058090v1_genomic.fna,747,745,6,5
GCA_015679605.1_UCR_MepigNRRL5512_1.0_genomic.fna,688,648,27,43
GCA_035926935.1_ASM3592693v1_genomic.fna,749,748,1,8
GCA_949610685.1_PK020508_genomic.fna,654,651,20,84
GCA_011764145.1_ASM1176414v1_genomic.fna,697,545,25,36
GCA_019207725.1_ASM1920772v1_genomic.fna,723,722,8,27
GCA_020502335.1_ASM2050233v1_genomic.fna,747,746,6,5
GCA_030062325.1_Pva_DTO45G8_1_genomic.fna,748,743,2,8
GCA_000418435.1_Bgt_454_newbler_assembly_genomic.fna,733,732,7,18
GCA_001691775.3_ASM169177v3_genomic.fna,739,737,4,15
GCA_030060995.1_Pva_DTO166G5_1_genomic.fna,749,743,2,7
GCA_022831445.1_ASM2283144v1_genomic.fna,749,747,4,5
GCA_001466535.1_ASM146653v1_genomic.fna,724,685,3,31
GCA_035928245.1_ASM3592824v1_genomic.fna,753,752,3,2
GCA_011066575.1_ASM1106657v1_genomic.fna,745,744,5,8
GCA_022627125.1_ASM2262712v1_genomic.fna,748,744,4,6
GCA_022627135.1_ASM2262713v1_genomic.fna,747,744,3,8
GCA_022830305.1_ASM2283030v1_genomic.fna,747,745,4,7
GCA_027923945.1_AnigIFM49718_1.0_genomic.fna,749,746,2,7
GCA_022606195.1_Trapol1_genomic.fna,729,725,9,20
GCA_020500555.1_ASM2050055v1_genomic.fna,746,745,6,6
GCA_009650675.1_ASM965067v1_genomic.fna,750,747,0,8
GCA_001883825.1_Emmo_past_UAMH9510_V1_genomic.fna,746,744,5,7
GCA_020579835.1_ASM2057983v1_genomic.fna,746,744,7,5
GCA_014235935.1_CMUS01_genomic.fna,749,747,2,7
GCA_027575855.1_UCR_LimaNRRL5244_1.0_genomic.fna,380,375,141,237
GCA_000286035.1_ASM28603v1_genomic.fna,738,733,4,16
GCA_020498815.1_ASM2049881v1_genomic.fna,745,744,6,7
GCA_019207555.1_ASM1920755v1_genomic.fna,726,725,6,26
GCA_030685235.1_CopCBS38678_1_genomic.fna,748,747,2,8
GCA_018282135.1_ASM1828213v1_genomic.fna,747,743,4,7
GCA_021365335.1_PhaPMI808_genomic.fna,745,741,3,10
GCA_024704315.1_ASM2470431v1_genomic.fna,743,741,8,7
GCA_009728675.1_ASM972867v1_genomic.fna,752,750,1,5
GCA_963989715.1_canParSR23v1_genomic.fna,724,721,4,30
GCA_009193565.1_Aspcor1_genomic.fna,745,744,4,9
GCA_027578015.1_UCR_CoemRSA2618_1.0_genomic.fna,520,499,77,161
GCA_002222295.1_Cryp_neof_CHC193_V1_genomic.fna,703,701,8,47
GCA_002591395.1_Ophun1_genomic.fna,720,717,22,16
GCA_038497925.1_Lst7851_1_genomic.fna,720,714,23,15
GCA_024613185.1_Pismi2_genomic.fna,705,325,19,34
GCA_026229895.1_ASM2622989v1_genomic.fna,724,646,18,16
GCA_024704605.1_ASM2470460v1_genomic.fna,742,740,7,9
GCA_022385695.1_Xylarb124340_1_genomic.fna,743,740,2,13
GCA_020499695.1_ASM2049969v1_genomic.fna,746,745,6,6
GCA_012980515.1_Ophcf2_genomic.fna,746,739,5,7
GCA_949122505.1_CFC_HP.nuclear_genome.ScRAP_genomic.fna,665,164,4,89
GCA_000875855.1_Cryp_gatt_MMRL2647_V2_genomic.fna,711,711,12,35
GCA_027577855.1_UCR_CoemRSA353_1.0_genomic.fna,488,479,94,176
GCA_001645055.2_AAFC_TwDAOMC236422_2_genomic.fna,671,668,25,62
GCA_001466565.1_ASM146656v1_genomic.fna,719,669,3,36
GCA_024704505.1_ASM2470450v1_genomic.fna,745,743,6,7
GCA_911175295.1_Pnal_DTO053-A9_genomic.fna,748,743,2,8
GCA_017911135.1_ASM1791113v1_genomic.fna,88,88,106,564
GCA_911197325.1_Psal_LCP06521_genomic.fna,746,742,3,9
GCA_002933655.1_Cbert_1_genomic.fna,753,752,2,3
GCA_001953115.1_ASM195311v1_genomic.fna,506,474,76,176
GCA_000513255.1_PROQFM164_20130607_genomic.fna,748,745,3,7
GCA_004014815.1_ASM401481v1_genomic.fna,714,712,20,24
GCA_003325415.1_Rstol_CA_genomic.fna,602,351,40,116
GCA_016097755.1_ASM1609775v1_genomic.fna,726,648,7,25
GCA_030553335.1_ASM3055333v1_genomic.fna,750,25,2,6
GCA_028827515.1_ASM2882751v1_genomic.fna,740,738,6,12
GCA_024244585.1_ASM2424458v1_genomic.fna,749,747,6,3
GCA_020503395.1_ASM2050339v1_genomic.fna,746,745,7,5
GCA_003426265.1_ASM342626v1_genomic.fna,699,697,29,30
GCA_000151455.1_ASM15145v1_genomic.fna,732,730,10,16
GCA_020569495.1_ASM2056949v1_genomic.fna,746,744,7,5
GCA_023134475.1_ASM2313447v1_genomic.fna,745,743,2,11
GCA_020500935.1_ASM2050093v1_genomic.fna,748,747,5,5
GCA_947370215.1_BDN_1c.nuclear_genome_genomic.fna,733,716,1,24
GCA_036971725.1_ASM3697172v1_genomic.fna,742,741,4,12
GCA_022114955.2_ASM2211495v2_genomic.fna,751,748,0,7
GCA_011066715.1_ASM1106671v1_genomic.fna,745,744,6,7
GCA_002307695.1_Armga1_genomic.fna,730,706,6,22
GCA_011800955.2_ASM1180095v2_genomic.fna,711,536,16,31
GCA_001191545.1_ASM119154v1_genomic.fna,743,740,2,13
GCA_000507465.4_ASM50746v4_genomic.fna,718,717,9,31
GCA_024761035.1_ASM2476103v1_genomic.fna,724,102,22,12
GCA_022592435.1_Polsqu1_genomic.fna,716,550,6,36
GCA_020575615.1_ASM2057561v1_genomic.fna,746,744,7,5
GCA_029990515.1_ABH.nuclear_genome_genomic.fna,733,716,1,24
GCA_022664585.2_ASM2266458v2_genomic.fna,742,739,0,16
GCA_011066695.1_ASM1106669v1_genomic.fna,745,744,6,7
GCA_027946555.1_ASM2794655v1_genomic.fna,716,713,7,35
GCA_030504495.1_ASM3050449v1_genomic.fna,681,679,21,56
GCA_015502565.1_UCR_MambBC1291_genomic.fna,719,711,16,23
GCA_000977265.3_Sc_YJM1342_v1_genomic.fna,732,715,1,25
GCA_011801705.2_ASM1180170v2_genomic.fna,707,537,22,29
GCA_002104935.1_Hesve2_genomic.fna,715,678,12,31
GCA_911175155.1_Pnal_ESE00255_genomic.fna,749,744,0,9
GCA_002081675.1_ASM208167v1_genomic.fna,99,96,29,630
GCA_021018955.2_ASM2101895v2_genomic.fna,712,707,12,34
GCA_009805475.2_Tcel_Rcb_2.1_genomic.fna,746,742,3,9
GCA_001078395.2_Aud_assembly02_genomic.fna,738,736,4,16
GCA_947370715.1_CCN.nuclear_genome_genomic.fna,732,715,1,25
GCA_910591775.1_Dentiscutata_heterogama_IL203A_genomic.fna,313,311,79,366
GCA_000976995.2_Sc_YJM1273_v1_genomic.fna,733,716,1,24
GCA_003203555.1_RclarusHR1_1.0_genomic.fna,708,696,10,40
GCA_020581275.1_ASM2058127v1_genomic.fna,746,743,7,5
GCA_015499985.1_UCR_McamNRRL2610_1.0_genomic.fna,731,675,11,16
GCA_027923785.1_AnigIFM56816_1.0_genomic.fna,748,744,2,8
GCA_020571295.1_ASM2057129v1_genomic.fna,746,744,7,5
GCA_016758985.1_ASM1675898v1_genomic.fna,739,654,3,16
GCA_027603645.1_ASM2760364v1_genomic.fna,681,659,23,54
GCA_022432365.1_HyFL1284_2_genomic.fna,751,748,0,7
GCA_000344655.2_Fompi3_genomic.fna,736,733,6,16
GCA_000976155.4_Sc_YJM554_v1_genomic.fna,733,714,1,24
GCA_035928545.1_ASM3592854v1_genomic.fna,754,752,3,1
GCA_901677965.1_SG4_WholeGenome_genomic.fna,751,746,1,6
GCA_024761275.1_ASM2476127v1_genomic.fna,742,17,8,8
GCA_021365275.1_XylPMI506_genomic.fna,750,747,1,7
GCA_024516245.1_Pezech1_genomic.fna,744,740,4,10
GCA_020574115.1_ASM2057411v1_genomic.fna,746,744,7,5
GCA_019924905.1_ASM1992490v1_genomic.fna,552,245,143,63
GCA_029990905.1_BGN_3a.nuclear_genome_genomic.fna,733,717,1,24
GCA_020501105.1_ASM2050110v1_genomic.fna,747,746,6,5
GCA_020502525.1_ASM2050252v1_genomic.fna,746,745,6,6
GCA_902827195.2_C_rosea_IK726_genomic.fna,729,717,11,18
GCA_027627405.1_Leucocoprinus_birnbaumii_VT141_reassembly_enz_genomic.fna,683,664,18,57
GCA_030413865.1_CLIM01_genomic.fna,742,740,5,11
GCA_027945535.1_F_oxy_CF00115_genomic.fna,720,716,4,34
GCA_007735645.1_ASM773564v1_genomic.fna,748,747,4,6
GCA_033297075.1_Poddec1_genomic.fna,748,743,1,9
GCA_910591835.1_Acaulospora_morrowiae_CL551_genomic.fna,604,572,71,83
GCA_000827395.1_Paxillus_rubicundulus_Ve08.2h10_v1.0_genomic.fna,725,720,10,23
GCA_013395995.1_ASM1339599v1_genomic.fna,746,741,8,4
GCA_035521475.1_Uapishka_1_genomic.fna,674,673,21,63
GCA_023848605.1_ASM2384860v1_genomic.fna,754,753,1,3
GCA_022831595.1_ASM2283159v1_genomic.fna,747,745,5,6
GCA_022578775.1_Xylven1_genomic.fna,739,738,1,18
GCA_019677385.1_ASM1967738v1_genomic.fna,542,502,93,123
GCA_020501535.1_ASM2050153v1_genomic.fna,749,748,5,4
GCA_016628065.1_Suilak1_genomic.fna,709,560,17,32
GCA_020502185.1_ASM2050218v1_genomic.fna,744,743,6,8
GCA_013396185.1_ASM1339618v1_genomic.fna,753,750,0,5
GCA_900074905.1_version_1_genomic.fna,752,749,2,4
GCA_011022315.1_ASM1102231v1_genomic.fna,736,76,1,21
GCA_011800875.2_Suibr2_genomic.fna,730,712,8,20
GCA_027578055.1_UCR_CoemRSA2611_1.0_genomic.fna,590,357,78,90
GCA_001572055.1_ASM157205v1_genomic.fna,751,748,3,4
GCA_020574345.1_ASM2057434v1_genomic.fna,746,744,7,5
GCA_018360605.1_CSU_LM474_v1_genomic.fna,747,740,6,5
GCA_001662605.1_ASM166260v1_genomic.fna,745,718,3,10
GCA_030412055.1_ASM3041205v1_genomic.fna,748,46,4,6
GCA_027578755.1_UCR_CoemRSA1199_1.0_genomic.fna,677,655,17,64
GCA_020503365.1_ASM2050336v1_genomic.fna,746,745,6,6
GCA_020617735.1_ASM2061773v1_genomic.fna,643,626,25,90
GCA_900102585.1_MvSof1_genomic.fna,685,681,11,62
GCA_010093745.1_Pieho1_1_genomic.fna,733,730,2,23
GCA_001661315.1_Nadfu1_genomic.fna,735,710,12,11
GCA_019924195.1_ASM1992419v1_genomic.fna,715,93,31,12
GCA_004917425.1_ASM491742v1_genomic.fna,751,749,4,3
GCA_027578895.1_UCR_CoemCBS109367_1.0_genomic.fna,659,652,24,75
GCA_020536225.1_ASM2053622v1_genomic.fna,704,701,8,46
GCA_015679545.1_UCR_MspAD094_1.0_genomic.fna,718,663,15,25
GCA_024762045.1_ASM2476204v1_genomic.fna,589,248,119,50
GCA_022578795.1_XylFL0255_genomic.fna,744,737,0,14
GCA_000773745.1_Cand_albi_P37005_V2_genomic.fna,721,711,7,30
GCA_007168705.1_ASM716870v1_genomic.fna,723,721,3,32
GCA_009498135.1_ASM949813v1_genomic.fna,728,726,4,26
GCA_023646125.1_KEW_Gehr_genomic.fna,738,737,4,16
GCA_020499825.1_ASM2049982v1_genomic.fna,745,744,5,8
GCA_020574715.1_ASM2057471v1_genomic.fna,746,744,7,5
GCA_016952355.1_ASM1695235v1_genomic.fna,750,749,2,6
GCA_026026785.1_ASM2602678v1_genomic.fna,745,745,6,7
GCA_018360725.1_CSU_LM223_v1_genomic.fna,743,737,4,11
GCA_010724795.1_ASM1072479v1_genomic.fna,739,737,4,15
GCA_030247855.2_UCR_TK_35v2_genomic.fna,746,745,6,6
GCA_020502225.1_ASM2050222v1_genomic.fna,746,745,6,6
GCA_002072265.1_ASM207226v1_genomic.fna,754,748,1,3
GCA_029991515.1_CRB_1a.nuclear_genome_genomic.fna,733,711,1,24
GCA_020503015.1_ASM2050301v1_genomic.fna,742,741,8,8
GCA_000260215.2_FO_PHW808_V1_genomic.fna,748,744,1,9
GCA_027604105.1_ASM2760410v1_genomic.fna,549,490,51,158
GCA_024761155.1_ASM2476115v1_genomic.fna,722,89,23,13
GCA_002705745.1_Coere1_genomic.fna,669,662,24,65
GCA_038380885.1_Pcit129764_genomic.fna,753,752,3,2
GCA_029531795.1_NWAFU_SnTB1_1.0_genomic.fna,752,751,1,5
GCA_003339455.1_ASM333945v1_genomic.fna,751,747,0,7
GCA_000976755.2_Sc_YJM1199_v1_genomic.fna,732,715,1,25
GCA_949123915.1_CGH_1_HP.nuclear_genome.ScRAP_genomic.fna,625,35,4,129
GCA_012959155.1_ASM1295915v1_genomic.fna,742,737,8,8
GCA_000978345.2_Sc_YJM1615_v1_genomic.fna,733,707,1,24
GCA_041956715.1_Theth1_genomic.fna,733,732,11,14
GCA_920106075.1_Pnal_LCP03435_genomic.fna,748,743,1,9
GCA_041870755.1_OSU_Fsam_1.1_genomic.fna,749,746,3,6
GCA_021066465.1_ASM2106646v1_genomic.fna,748,746,4,6
GCA_022830695.1_ASM2283069v1_genomic.fna,746,744,5,7
GCA_001541205.1_Rhosp1_genomic.fna,667,667,18,73
GCA_003118255.1_ABySS_70bp_45k_152cov_v1_genomic.fna,749,739,3,6
GCA_022225965.2_ASM2222596v2_genomic.fna,748,747,2,8
GCA_020575955.1_ASM2057595v1_genomic.fna,746,744,7,5
GCA_027575275.1_UCR_CoemRSA2711_1.0_genomic.fna,613,599,18,127
GCA_000977115.3_Sc_YJM1326_v1_genomic.fna,733,716,1,24
GCA_019207525.1_ASM1920752v1_genomic.fna,728,727,6,24
GCA_001691785.3_ASM169178v3_genomic.fna,713,695,20,25
GCA_023137675.1_ASM2313767v1_genomic.fna,744,742,3,11
GCA_003317015.2_ASM331701v2_genomic.fna,752,749,2,4
GCA_023646655.1_KEW_Caeg_genomic.fna,696,694,31,31
GCA_010093795.1_Spofi1_genomic.fna,754,752,0,4
GCA_020501005.1_ASM2050100v1_genomic.fna,748,747,5,5
GCA_022963125.1_ASM2296312v1_genomic.fna,736,722,2,20
GCA_905067625.1_Bgtriticale_THUN12_genome_v1_2_genomic.fna,748,740,4,6
GCA_015179015.1_Boled5_genomic.fna,731,434,6,21
GCA_033575675.1_Thihy1_genomic.fna,747,743,1,10
GCA_030267665.1_ASM3026766v1_genomic.fna,521,517,121,116
GCA_041438155.1_Schco2231_1_genomic.fna,719,714,14,25
GCA_022829115.1_ASM2282911v1_genomic.fna,749,746,3,6
GCA_023748735.1_Uh1273_v1_genomic.fna,734,730,6,18
GCA_029990335.1_AFI.nuclear_genome_genomic.fna,733,713,1,24
GCA_000697685.1_PleosPC15_2_genomic.fna,721,710,16,21
GCA_002572855.1_Emmon_cres_4076_V1_genomic.fna,747,745,1,10
GCA_038497555.1_Lipstark1_1_genomic.fna,721,715,19,18
GCA_038381115.1_Phy27169_genomic.fna,746,744,2,10
