Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_000213175.1	v2.0	Neurospora tetrasperma FGSC 2508	510951			FGSC 2508					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Scaffold	2011-06-21	AFBT01	81
GCF_000213175.1	v2.0	Neurospora tetrasperma FGSC 2508	510951			FGSC 2508					Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Scaffold	2011-06-21	AFBT01	81
GCA_000150735.2	Paracocci_br_Pb18_V2	Paracoccidioides brasiliensis Pb18	502780			Pb18					Annotation submitted by Broad Institute	Scaffold	2014-10-24	ABKI02	57
GCF_000150735.1	Paracocci_br_Pb18_V2	Paracoccidioides brasiliensis Pb18	502780			Pb18					Annotation submitted by Broad Institute	Scaffold	2014-10-24	ABKI02	57
GCA_001636715.1	AAP 1.0	Ascosphaera apis ARSEF 7405	392613			ARSEF 7405					Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	Scaffold	2016-05-02	AZGZ01	82
GCA_028828025.1	ASM2882802v1	Penicillium rubens	1108849			IBT 27055					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAF01	
GCF_028828025.1	ASM2882802v1	Penicillium rubens	1108849			IBT 27055					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAF01	
GCA_015179015.1	Boled5	Boletus edulis BED1	1328754			BED1					Annotation submitted by DOE Joint Genome Institute	Contig	2020-11-02	WHUW01	
GCA_000320605.2	Ceriporiopsis subvermispora B v1.0	Gelatoporia subvermispora B	914234			B					Annotation submitted by DOE Joint Genome Institute	Scaffold	2013-02-12	AEOV01	740
GCA_000383075.1	NosBomCQ1_v1.0	Nosema bombycis CQ1	578461			CQ1					Annotation submitted by The Institute of Sericulture and Systems Biology (ISSB) of Southwest University (SWU)	Scaffold	2013-04-30	ACJZ01	1607
GCA_028827405.1	ASM2882740v1	Penicillium crustosum	36656			IBT 35664					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBV01	
GCF_028827405.1	ASM2882740v1	Penicillium crustosum	36656			IBT 35664					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBV01	
GCA_020746995.1	Plecuc1	Plectosphaerella cucumerina	40658			MPI-CAGE-AT-0016					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAGPXD01	
GCA_020360975.1	ASM2036097v1	Hirsutella rhossiliensis	111463			HR02					Annotation submitted by The Institute of Vegetables and Flowers CAAS	Scaffold	2021-10-07	JAIZPD01	39
GCF_020360975.1	ASM2036097v1	Hirsutella rhossiliensis	111463			HR02					Annotation submitted by The Institute of Vegetables and Flowers CAAS	Scaffold	2021-10-07	JAIZPD01	39
GCA_028827555.1	ASM2882755v1	Penicillium brevicompactum	5074			IBT 35665					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBP01	
GCF_028827555.1	ASM2882755v1	Penicillium brevicompactum	5074			IBT 35665					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBP01	
GCA_011075155.1	ASM1107515v1	Colletotrichum scovillei	1209932			TJNH1					Annotation submitted by Tianjin Institute of Plant Protection	Contig	2020-03-09	JAAJBS01	
GCF_011075155.1	ASM1107515v1	Colletotrichum scovillei	1209932			TJNH1					Annotation submitted by Tianjin Institute of Plant Protection	Contig	2020-03-09	JAAJBS01	
GCA_028829755.1	ASM2882975v1	Penicillium solitum	60172			IBT 25940					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAH01	
GCF_028829755.1	ASM2882975v1	Penicillium solitum	60172			IBT 25940					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAH01	
GCF_002926085.2	CanDuoHae_v1.0	Candidozyma duobushaemuli	1231522			B09383					Annotation submitted by Centers for Disease Control and Prevention	Contig	2018-02-13	PKFP01	
GCA_036971725.1	ASM3697172v1	Arthrobotrys conoides	74498			TWF506					Annotation submitted by Academia Sinica	Contig	2024-03-04	JAVHJM01	
GCA_032760415.1	ASM3276041v1	Diplocarpon rosae	946125			R4					Annotation submitted by Nanjing Forestry University	Contig	2023-10-17	JAUBYV01	
GCA_020726555.1	Boeex1	Boeremia exigua	749465			MPI-SDFR-AT-0100					Annotation submitted by DOE Joint Genome Institute	Contig	2021-10-29	JAHBNH01	
GCF_020726555.1	Boeex1	Boeremia exigua	749465			MPI-SDFR-AT-0100					Annotation submitted by DOE Joint Genome Institute	Contig	2021-10-29	JAHBNH01	
GCA_020744475.1	Fusre1	Fusarium redolens	48865			MPI-CAGE-AT-0023					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAGMUX01	
GCF_020744475.1	Fusre1	Fusarium redolens	48865			MPI-CAGE-AT-0023					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAGMUX01	
GCA_000732125.1	ScApio1.0	Scedosporium apiospermum	563466			IHEM 14462					Annotation submitted by LUNAM - Angers University	Scaffold	2014-07-21	JOWA01	176
GCF_000732125.1	ScApio1.0	Scedosporium apiospermum	563466			IHEM 14462					Annotation submitted by LUNAM - Angers University	Scaffold	2014-07-21	JOWA01	176
GCA_026229845.1	ASM2622984v1	Diaporthe amygdali	1214568			CAA958					Annotation submitted by Universidade de Aveiro	Scaffold	2022-11-17	JAJATV01	267
GCF_026229845.1	ASM2622984v1	Diaporthe amygdali	1214568			CAA958					Annotation submitted by Universidade de Aveiro	Scaffold	2022-11-17	JAJATV01	267
GCA_001511075.1	Acal_Allpaths_LG	Aspergillus calidoustus	454130								Annotation submitted by HKI JENA	Scaffold	2016-01-07	CDMC01	78
GCA_001896365.1	ASM189636v1	Talaromyces amestolkiae	1196081			CIB					Annotation submitted by Centro de Investigaciones Biologicas	Scaffold	2016-12-09	MIKG01	212
GCF_001896365.1	ASM189636v1	Talaromyces amestolkiae	1196081			CIB					Annotation submitted by Centro de Investigaciones Biologicas	Scaffold	2016-12-09	MIKG01	212
GCA_003260565.1	ASM326056v1	Monilinia fructigena	38457			Mfrg269					Annotation submitted by Rita Milvia De Miccolis Angelini's shared submissions	Contig	2018-06-22	QKRW01	
GCA_030913485.1	Colgo1	Colletotrichum godetiae	1209918			CBS 193.32					Annotation submitted by DOE Joint Genome Institute	Contig	2023-08-24	JAHMHR01	
GCF_030913485.1	Colgo1	Colletotrichum godetiae	1209918			CBS 193.32					Annotation submitted by DOE Joint Genome Institute	Contig	2023-08-24	JAHMHR01	
GCA_022606235.1	Abobie1	Abortiporus biennis	137743			CIRM-BRFM 1778					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-16	JABYQP01	
GCA_022606055.1	Tragib1	Trametes gibbosa	160864			CIRM-BRFM 1770					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-16	JABYQJ01	
GCA_007182795.1	ASM718279v1	Xylaria flabelliformis	2512241			G536					Annotation submitted by Vanderbilt University	Scaffold	2019-07-19	VFLP01	155
GCA_026026815.1	ASM2602681v1	Trichoglossum hirsutum	265104						MO 302568/TS-e1930		Annotation submitted by University of Alberta	Contig	2022-11-07	JAPEUH01	
GCA_030435635.1	Armbor1	Armillaria borealis	47425			FPL87.14					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-11	JAUEPT01	
GCA_021525775.1	Lacdel1	Lactarius deliciosus	55514			48					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-19	JAKELK01	
GCA_023601865.2	ASM2360186v2	Aspergillus affinis	1070780			CMG 70					Annotation submitted by Universidade de Aveiro	Scaffold	2022-10-03	JAGXNN02	421
GCF_023601865.1	ASM2360186v2	Aspergillus affinis	1070780			CMG 70					Annotation submitted by Universidade de Aveiro	Scaffold	2022-10-03	JAGXNN02	421
GCA_021066465.1	ASM2106646v1	Trichoderma asperelloides	702382			T203					Annotation submitted by The Hebrew University of Jerusalem, The Robert H. Smith Faculty of Agriculture, Food and Environment	Scaffold	2021-12-06	JAJKFY01	354
GCA_003070745.1	Tubbor1	Tuber borchii	42251			Tbo3840					Annotation submitted by DOE Joint Genome Institute	Contig	2018-04-24	NESQ01	
GCA_020080175.1	ASM2008017v1	Glutinoglossum americanum	1670608			GBOQ0MN5Z8					Annotation submitted by University of Colorado Boulder	Scaffold	2021-09-21	JAGHQL01	565
GCA_006352295.1	UMAN_Rdio_1.0	Rhodotorula diobovata	5288			UCD-FST 08-225					Annotation submitted by University of Manitoba	Scaffold	2019-06-18	SOZI01	361
GCA_029747585.1	Pleurotus_djamor_reassembly_enz	Pleurotus djamor	34470			MPG-05					Annotation submitted by TU Dresden - IHI Zittau	Scaffold	2023-04-14	JAPEVF01	2603
GCA_027596075.1	ASM2759607v1	Rhizophlyctis rosea	64517			JEL0764					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-09	JADGJC01	1457
GCA_003182015.1	ASM318201v1	Tuber magnatum	42249						091103-1		Annotation submitted by INRA	Scaffold	2018-05-31	PYWC01	1283
GCA_000765035.1	BN946	Trametes cinnabarina	5643			BRFM137					Annotation submitted by INRA_UMR1163_BCF	Scaffold	2014-09-29	CCBP01	776
GCA_026937265.1	CoeloLatMeio_1.0_UCR	Coelomomyces lativittatus	945690			CIRM-AVA-1-Meiospore					Annotation submitted by University of California, Riverside	Scaffold	2022-12-16	JADGJU01	5002
GCA_036780745.1	ASM3678074v1	Vairimorpha bombi	40135			VR1					Annotation submitted by University of Exeter	Scaffold	2024-02-22	JAWUGJ01	57
GCA_035048745.1	Mvel_NIH1002.PB.canu.pilon.trimmedMito	Mucor velutinosus	708070			NIH1002					Annotation submitted by NHGRI	Contig	2024-01-04	JASEJX01	
GCF_035048745.1	Mvel_NIH1002.PB.canu.pilon.trimmedMito	Mucor velutinosus	708070			NIH1002					Annotation submitted by NHGRI	Contig	2024-01-04	JASEJX01	
GCA_001466705.2	ASM146670v2	Moniliophthora roreri	221103			MCA 2952					Annotation submitted by Purdue University	Contig	2022-05-19	LATX02	
GCA_038025095.1	Pcit122482	Phyllosticta citricarpa	55181			CBS 122482					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-09	JBBPEG01	
GCA_000708205.1	Mixia osmundae v1.0	Mixia osmundae IAM 14324	764103			IAM 14324					Annotation submitted by DOE Joint Genome Institute	Scaffold	2014-06-23	AYOQ01	156
GCF_000708205.1	Mixia osmundae v1.0	Mixia osmundae IAM 14324	764103			IAM 14324					Annotation submitted by DOE Joint Genome Institute	Scaffold	2014-06-23	AYOQ01	156
GCA_000516985.1	PFICI	Pestalotiopsis fici W106-1	1229662			W106-1					Annotation submitted by Institute of microbiology, chinese academy of sciences	Scaffold	2014-01-10	ARNU01	39
GCF_000516985.1	PFICI	Pestalotiopsis fici W106-1	1229662			W106-1					Annotation submitted by Institute of microbiology, chinese academy of sciences	Scaffold	2014-01-10	ARNU01	39
GCA_000182565.2	S_punctatus_V1	Spizellomyces punctatus DAOM BR117	645134			DAOM BR117					Annotation submitted by Broad Institute	Scaffold	2015-07-29	ACOE01	38
GCF_000182565.1	S_punctatus_V1	Spizellomyces punctatus DAOM BR117	645134			DAOM BR117					Annotation submitted by Broad Institute	Scaffold	2015-07-29	ACOE01	38
GCA_000271605.1	Fomme1	Fomitiporia mediterranea MF3/22	694068			MF3/22					Annotation submitted by JGI	Scaffold	2012-06-29	AEJJ01	1412
GCF_000271605.1	Fomme1	Fomitiporia mediterranea MF3/22	694068			MF3/22					Annotation submitted by JGI	Scaffold	2012-06-29	AEJJ01	1412
GCA_022702325.1	ASM2270232v1	Drepanopeziza brunnea f. sp. 'multigermtubi'	698441			214-2					Annotation submitted by Nanjing Forestry University	Contig	2022-03-28	JAKKER01	
GCF_022702325.1	ASM2270232v1	Drepanopeziza brunnea f. sp. 'multigermtubi'	698441			214-2					Annotation submitted by Nanjing Forestry University	Contig	2022-03-28	JAKKER01	
GCA_000320585.2	Heterobasidion irregulare v2.0	Heterobasidion irregulare TC 32-1	747525			TC 32-1					Annotation submitted by JGI	Scaffold	2014-01-17	AEOJ01	15
GCF_000320585.1	Heterobasidion irregulare v2.0	Heterobasidion irregulare TC 32-1	747525			TC 32-1					Annotation submitted by JGI	Scaffold	2014-01-17	AEOJ01	15
GCA_001890725.1	Aspwe1	Aspergillus wentii DTO 134E9	1073089			DTO 134E9					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LJSE01	27
GCF_001890725.1	Aspwe1	Aspergillus wentii DTO 134E9	1073089			DTO 134E9					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LJSE01	27
GCA_001477545.1	Pneu_cari_B80_V3	Pneumocystis carinii B80	1408658			B80					Annotation submitted by Broad Institute	Contig	2015-12-22	LFVZ01	
GCF_001477545.1	Pneu_cari_B80_V3	Pneumocystis carinii B80	1408658			B80					Annotation submitted by Broad Institute	Contig	2015-12-22	LFVZ01	
GCA_000349305.2	ASM34930v2	Malassezia sympodialis ATCC 42132	1230383			ATCC 42132					Annotation submitted by SciLifeLab	Scaffold	2013-03-18	CANK01	65
GCF_000349305.1	ASM34930v2	Malassezia sympodialis ATCC 42132	1230383			ATCC 42132					Annotation submitted by SciLifeLab	Scaffold	2013-03-18	CANK01	65
GCA_042370945.1	Theau2	Thermoascus aurantiacus ATCC 26904	1133049			ATCC 26904					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-19	JAZGUB01	48
GCA_000271645.1	Treme1	Tremella mesenterica DSM 1558	578456			Fries					Annotation submitted by DOE Joint Genome Institute	Scaffold	2012-06-22	AFVY01	45
GCF_000271645.1	Treme1	Tremella mesenterica DSM 1558	578456			Fries					Annotation submitted by DOE Joint Genome Institute	Scaffold	2012-06-22	AFVY01	45
GCA_000523435.1	Cochliobolus carbonum v1.0	Bipolaris zeicola 26-R-13	930089			26-R-13					Annotation submitted by JGI	Scaffold	2014-01-30	AMCN01	844
GCF_000523435.1	Cochliobolus carbonum v1.0	Bipolaris zeicola 26-R-13	930089			26-R-13					Annotation submitted by JGI	Scaffold	2014-01-30	AMCN01	844
GCA_000739165.1	Mort_vert_NRRL_6337_V1	Podila verticillata NRRL 6337	1069443			NRRL 6337					Annotation submitted by Broad Institute	Scaffold	2014-08-15	AEVJ01	55
GCA_000464535.1	EPUS	Endocarpon pusillum Z07020	1263415			Z07020					Annotation submitted by chinese academy of science	Scaffold	2013-09-05	APWS01	908
GCF_000464535.1	EPUS	Endocarpon pusillum Z07020	1263415			Z07020					Annotation submitted by chinese academy of science	Scaffold	2013-09-05	APWS01	908
GCA_964058965.1	DC1_JKI	Diplocarpon coronariae	2795749								Annotation submitted by Research institue for organic agriculture	Contig	2024-05-30	CAXKVZ01	
GCA_001636795.1	LEL 1.0	Akanthomyces lecanii RCEF 1005	1081108			RCEF 1005					Annotation submitted by Shanghai Institutes for Biological Sciences, CAS	Scaffold	2016-05-04	AZHF01	130
GCA_002760635.1	GanSi1.6	Ganoderma sinense ZZ0214-1	1077348			ZZ0214-1					Annotation submitted by The Institute of Medicinal Plant Development, China	Scaffold	2017-11-07	AYKW01	69
GCA_002092935.1	Pycco1	Trametes coccinea BRFM310	1353009			BRFM310					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-04-24	NCSW01	222
GCA_001189435.1	Tophv1.0	Tolypocladium ophioglossoides CBS 100239	1163406			CBS 100239					Annotation submitted by Oregon State University	Scaffold	2015-07-30	LFRF01	172
GCA_000827315.1	Piloderma croceum F 1598 v1.0	Piloderma croceum F 1598	765440			F 1598					Annotation submitted by DOE Joint Genome Institute	Scaffold	2015-01-30	JMDN01	715
GCA_000827485.1	Amanita muscaria Koide BX008 v1.0	Amanita muscaria Koide BX008	946122			Koide BX008					Annotation submitted by DOE Joint Genome Institute	Scaffold	2015-01-27	JMDV01	1101
GCA_015951145.1	Croqu1	Cronartium quercuum f. sp. fusiforme G11	708437			G11					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-03	AZMU01	1198
GCA_022836555.1	Ctol_6.0	Colletotrichum tofieldiae	708197			MAFF 712333					Annotation submitted by The University of Tokyo	Contig	2022-03-29	BQXV01	
GCA_028828655.1	ASM2882865v1	Penicillium verrucosum	60171			IBT 35672					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAO01	
GCF_028828655.1	ASM2882865v1	Penicillium verrucosum	60171			IBT 35672					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAO01	
GCA_045866475.1	ASM4586647v1	Madurella fahalii	1157608			IFM 68171					Annotation submitted by Medical Mycology Research Center, Chiba University	Contig	2024-09-15	BAAFSV01	
GCF_045866475.1	ASM4586647v1	Madurella fahalii	1157608			IFM 68171					Annotation submitted by Medical Mycology Research Center, Chiba University	Contig	2024-09-15	BAAFSV01	
GCA_039105305.1	ASM3910530v1	Apiospora arundinis	335852			AAU 773					Annotation submitted by Aalborg university	Contig	2024-05-09	JAPCWZ01	
GCA_038363885.1	ASM3836388v1	Apiospora rasikravindrae	990691			CBS 33761					Annotation submitted by Aalborg university	Contig	2024-04-22	JAQQWK01	
GCA_028828875.1	ASM2882887v1	Penicillium capsulatum	69766			IBT 29712					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJZR01	
GCA_023375755.1	ASM2337575v1	Paramyrothecium foliicola	1859967			TJWQPF1					Annotation submitted by Institute of Plant Protection, Tianjin Academy of Agricultural Sciences	Contig	2022-05-16	JALHAH01	
GCA_030435815.1	ASM3043581v1	Sarocladium strictum	5046			F4-1					Annotation submitted by Institute of Plant Protection,Liaoning Academy of Agricultural Sciences	Contig	2023-07-11	JAPDFR01	
GCA_021436955.3	ASM2143695v3	Diplodia seriata	420778			FDS-637					Annotation submitted by Agriculture and Agri-Food Canada	Contig	2024-06-24	JAJVCZ03	
GCF_021436955.1	ASM2143695v3	Diplodia seriata	420778			FDS-637					Annotation submitted by Agriculture and Agri-Food Canada	Contig	2024-06-24	JAJVCZ03	
GCA_003851025.1	SCP_1.1	Sparassis crispa	139825								Annotation submitted by Department of Pediatric Cardiology, Tokyo Women's Medical University	Contig	2018-11-07	BFAD01	
GCF_003851025.1	SCP_1.1	Sparassis crispa	139825								Annotation submitted by Department of Pediatric Cardiology, Tokyo Women's Medical University	Contig	2018-11-07	BFAD01	
GCA_008065305.1	ASM806530v1	Cutaneotrichosporon oleaginosum	879819			ATCC 20508					Annotation submitted by Ruhr-University Bochum	Contig	2019-08-22	QKWL01	
GCF_008065305.1	ASM806530v1	Cutaneotrichosporon oleaginosum	879819			ATCC 20508					Annotation submitted by Ruhr-University Bochum	Contig	2019-08-22	QKWL01	
GCA_022606135.1	Fomfom1	Fomes fomentarius	40442			CIRM-BRFM 1821					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-16	JABYQN01	
GCA_036320915.1	MoeNVP64_1	Linnemannia elongata	310910			NVP64					Annotation submitted by DOE Joint Genome Institute	Contig	2024-01-31	JAXBDG01	
GCA_013053245.1	LU_AGP_1.0	Agrocybe pediades	84607			CBS 102.39					Annotation submitted by Lund University	Contig	2020-05-12	JAACJL01	
GCA_019364595.1	ASM1936459v1	Butyriboletus roseoflavus	1325616			LA02					Annotation submitted by INRAE	Contig	2021-07-27	JAHRGV01	
GCA_036872635.1	ASM3687263v1	Orbilia brochopaga	3140254			TWF696					Annotation submitted by Academia Sinica	Contig	2024-02-26	JAVHNQ01	
GCA_030407055.1	Armmel1	Armillaria mellea	47429			ELDO17					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-05	JAUDZF01	
GCA_009299455.1	ASM929945v1	Monilinia laxa	61186			Mlax316					Annotation submitted by UniBa - Univpm	Contig	2019-10-23	VIGI01	
GCA_030867565.1	CCOSS01	Colletotrichum costaricense	1209916			IMI 309622					Annotation submitted by University of Western Brittany	Scaffold	2023-08-24	MOOE01	70
GCF_030867565.1	CCOSS01	Colletotrichum costaricense	1209916			IMI 309622					Annotation submitted by University of Western Brittany	Scaffold	2023-08-24	MOOE01	70
GCA_019671135.1	ASM1967113v1	Linnemannia hyalina	64524			SCG-10					Annotation submitted by University of Minnesota-Twin Cities	Contig	2021-08-18	JAHRHY01	
GCA_022606195.1	Trapol1	Trametes polyzona	239206			CIRM-BRFM 1798					Annotation submitted by DOE Joint Genome Institute	Contig	2022-03-15	JABYQF01	
GCA_025882075.1	ASM2588207v1	Dioszegia hungarica	4972			PDD-24b-2					Annotation submitted by Universite de Strasbourg	Contig	2022-10-28	JAKWFO01	
GCF_025882075.1	ASM2588207v1	Dioszegia hungarica	4972			PDD-24b-2					Annotation submitted by Universite de Strasbourg	Contig	2022-10-28	JAKWFO01	
GCA_038021145.1	Pcitr2	Phyllosticta citriasiana	595635			CBS 120426					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-08	JBBPHT01	
GCF_038021145.1	Pcitr2	Phyllosticta citriasiana	595635			CBS 120426					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-08	JBBPHT01	
GCA_020744425.1	Dacma1	Dactylonectria macrodidyma	307937			MPI-CAGE-AT-0147					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAGMUV01	
GCA_019787685.1	ASM1978768v1	Chiua virens	1914213			LA06					Annotation submitted by INRAE	Contig	2021-08-27	JAHNUO01	
GCA_020744225.1	Parch1	Paraphoma chrysanthemicola	798071			MPI-GEGE-AT-0034					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-04	JAGMWG01	
GCA_025504975.1	ASM2550497v1	Plenodomus lindquistii	301713			US01					Annotation submitted by Chinese Academy of Inspection and Quarantine	Contig	2022-09-30	JANUWI01	
GCA_022376465.1	Tralac1	Cubamyces lactineus	1391043			CIRM-BRFM 1664					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-23	JACDTU01	
GCA_014898415.1	ASM1489841v1	Stromatinia cepivora	38492			JRUF-117					Annotation submitted by Wageningen University	Contig	2020-10-20	RCTD01	
GCA_026008595.1	LshimejAT787	Lyophyllum shimeji	47721			AT787					Annotation submitted by National Institute for Basic Biology	Contig	2022-10-07	BRPK01	
GCA_029948375.1	ASM2994837v1	Ramalina farinacea	258253						LIQ254RAFAR		Annotation submitted by Royal Botanic Gardens, Kew	Contig	2023-05-04	JAPUFD01	
GCA_004522665.1	ASM452266v1	Venturia nashicola	86259			MAFF615029					Annotation submitted by POSTECH	Contig	2019-03-29	SNSD01	
GCA_003942205.1	ASM394220v1	Apiotrichum porosum	105984			DSM 27194					Annotation submitted by Karlsruhe Institute of Technology	Contig	2018-12-12	RSCE01	
GCF_003942205.1	ASM394220v1	Apiotrichum porosum	105984			DSM 27194					Annotation submitted by Karlsruhe Institute of Technology	Contig	2018-12-12	RSCE01	
GCA_949610715.1	HO020003	Hanseniaspora opuntiae	211096								Annotation submitted by VRIJE UNIVERSITEIT BRUSSEL	Contig	2025-02-01	CATIUX01	
GCA_015698045.1	RCL21	Rhizophagus clarus	94130			HR1					Annotation submitted by NIBB core research facilities, National Institues for Basic Biology	Contig	2020-11-13	BLAL01	
GCA_021365365.1	Ilyrob1	Ilyonectria robusta	1079257			PMI_751					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-05	JAJTIX01	
GCF_021365365.1	Ilyrob1	Ilyonectria robusta	1079257			PMI_751					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-05	JAJTIX01	
GCA_021365295.1	Hymvar1	Tricladium varicosporioides	2075069			PMI_453					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-05	JAJTIW01	
GCA_900519145.1	Uho2_v1	Ustilago hordei	120017			Uho2					Annotation submitted by Technische Universitat Munchen - WZW	Contig	2021-02-23	ULHA01	
GCF_900519145.1	Uho2_v1	Ustilago hordei	120017			Uho2					Annotation submitted by Technische Universitat Munchen - WZW	Contig	2021-02-23	ULHA01	
GCA_022264815.1	Fomros1	Rhodofomes roseus	34475			CIRM-BRFM 1785					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-15	JADCUA01	
GCF_022264815.1	Fomros1	Rhodofomes roseus	34475			CIRM-BRFM 1785					Annotation submitted by DOE Joint Genome Institute	Contig	2022-02-15	JADCUA01	
GCA_018340605.1	Asppvi_assembly01	Aspergillus pseudoviridinutans	1517512			IFM 55266					Annotation submitted by Medical Mycology Research Center	Scaffold	2021-03-12	BHVY01	24
GCF_018340605.1	Asppvi_assembly01	Aspergillus pseudoviridinutans	1517512			IFM 55266					Annotation submitted by Medical Mycology Research Center	Scaffold	2021-03-12	BHVY01	24
GCA_018397855.1	ASM1839785v1	Boletus reticuloceps	495285			BR01					Annotation submitted by INRAE	Contig	2021-05-18	JAGFBS01	
GCA_003942215.1	ASM394221v1	Saitozyma podzolica	1890683			DSM 27192					Annotation submitted by Karlsruhe Institute of Technology	Contig	2018-12-12	RSCD01	
GCA_025526995.1	Powhir1	Powellomyces hirtus	109895			BR81					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-30	JAHLKG01	
GCA_000835515.1	Exop_olig_CBS72588_V1	Exophiala oligosperma	215243			CBS 72588					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYCA01	143
GCF_000835515.1	Exop_olig_CBS72588_V1	Exophiala oligosperma	215243			CBS 72588					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYCA01	143
GCA_030869225.1	CABS01	Colletotrichum abscissum	1671311			IMI 504890					Annotation submitted by University of Western Brittany	Scaffold	2023-08-24	MOOD01	560
GCF_030869225.1	CABS01	Colletotrichum abscissum	1671311			IMI 504890					Annotation submitted by University of Western Brittany	Scaffold	2023-08-24	MOOD01	560
GCA_040367835.1	Mfluvus_1.0	Mucor flavus	439312			KT1a					Annotation submitted by Obihiro University of Agriculture and Veterinary Medicine	Contig	2024-04-06	BAABUK01	
GCA_023159155.1	Kredeu1	Ustulina deusta	110526			IL1129					Annotation submitted by DOE Joint Genome Institute	Contig	2022-04-27	JAJNNX01	
GCA_025766275.1	Lacind1	Lactarius indigo	222702			2018DUKE089					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-20	JAFKAC01	
GCA_013368325.1	LU_COA_1.0	Tulosesus angulatus	980116			CBS 175.51					Annotation submitted by Lund University	Contig	2020-06-23	JAACJK01	
GCA_022385695.1	Xylarb124340_1	Xylaria arbuscula	114810			CBS 124340					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-22	JAJLRG01	89
GCA_024613165.1	Pisalb1	Pisolithus albus	178870			SI12					Annotation submitted by DOE Joint Genome Institute	Contig	2022-08-10	JANFAB01	
GCA_002105105.1	Prola1	Protomyces lactucae-debilis	2754530			12-1054					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFI01	
GCF_002105105.1	Prola1	Protomyces lactucae-debilis	2754530			12-1054					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFI01	
GCA_029289565.1	ASM2928956v1	Mycena galericulata	71905			CBHHK162m					Annotation submitted by DOE Joint Genome Institute	Contig	2023-03-20	JARKIA01	
GCA_030435595.1	Armtab1	Desarmillaria tabescens	1929756			CCBAS 213					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-11	JAUEPS01	
GCF_030435595.1	Armtab1	Desarmillaria tabescens	1929756			CCBAS 213					Annotation submitted by DOE Joint Genome Institute	Contig	2023-07-11	JAUEPS01	
GCA_003013735.1	Cand_pseudohaemulonii_B12108	Candidozyma pseudohaemuli	418784			B12108					Annotation submitted by Broad Institute of MIT and Harvard	Scaffold	2018-03-22	PYFQ01	36
GCF_003013735.1	Cand_pseudohaemulonii_B12108	Candidozyma pseudohaemuli	418784			B12108					Annotation submitted by Broad Institute of MIT and Harvard	Scaffold	2018-03-22	PYFQ01	36
